size,price,date
W225,108000,2026-01-16
W240,101000,2026-01-16
W250,100000,2026-01-16
W240,100000,2026-01-16
W235,105000,2026-01-16
W250,100000,2026-01-16
W240,100000,2026-01-16
W235,105000,2026-01-16
W235,105000,2026-01-16
W240,100000,2026-01-16
W230,107000,2026-01-16
W240,100000,2026-01-16
W240,99000,2026-01-16
W220,125000,2026-01-16
W245,105000,2026-01-16
W270,143000,2026-01-16
W240,99000,2026-01-16
W225,109000,2026-01-16
W230,108000,2026-01-16
W245,102000,2026-01-16
W270,140000,2026-01-16
W255,105000,2026-01-16
W220,125000,2026-01-16
W250,100000,2026-01-16
W240,101000,2026-01-16
W240,100000,2026-01-16
W225,108000,2026-01-16
W230,108000,2026-01-16
W250,100000,2026-01-16
W240,101000,2026-01-16
W250,99000,2026-01-16
W240,101000,2026-01-16
W245,105000,2026-01-16
W240,101000,2026-01-16
W240,101000,2026-01-16
W240,101000,2026-01-16
W230,110000,2026-01-16
W235,105000,2026-01-16
W245,97000,2026-01-16
W240,100000,2026-01-16
W225,107000,2026-01-16
W260,136000,2026-01-16
W250,100000,2026-01-16
W235,105000,2026-01-16
W225,108000,2026-01-16
W240,103000,2026-01-16
W240,100000,2026-01-16
W235,105000,2026-01-16
W240,101000,2026-01-16
W240,102000,2026-01-16
W245,105000,2026-01-16
W240,102000,2026-01-16
W225,109000,2026-01-17
W235,104000,2026-01-17
W240,100000,2026-01-17
W240,101000,2026-01-17
W240,101000,2026-01-17
W230,109000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W240,101000,2026-01-17
W240,100000,2026-01-17
W230,108000,2026-01-17
W245,103000,2026-01-17
W230,109000,2026-01-17
W235,104000,2026-01-17
W245,105000,2026-01-17
W245,105000,2026-01-17
W230,109000,2026-01-17
W255,109000,2026-01-17
W230,109000,2026-01-17
W245,105000,2026-01-17
W230,107000,2026-01-17
W245,105000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W230,109000,2026-01-17
W240,101000,2026-01-17
W240,100000,2026-01-17
W230,109000,2026-01-17
W240,101000,2026-01-17
W240,101000,2026-01-17
W240,101000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W235,105000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W240,100000,2026-01-17
W235,115000,2026-01-17
W245,105000,2026-01-17
W235,103000,2026-01-17
W230,109000,2026-01-17
W230,107000,2026-01-17
W240,100000,2026-01-17
W245,104000,2026-01-17
W250,100000,2026-01-17
W240,100000,2026-01-17
W255,105000,2026-01-18
W240,102000,2026-01-18
W240,102000,2026-01-18
W240,102000,2026-01-18
W240,102000,2026-01-18
W220,123000,2026-01-18
W240,102000,2026-01-18
W245,106000,2026-01-18
