Product_ID,Name,Is_Womens,Wish_Count,Release_Date,Retail_Price,Color,Week1_Avg,Week2_Avg,Week3_Avg,Week4_Avg_Target
250825,(W) 나이키 샥스 R4 블랙,1,36000,,179000,Black/Black/Max Orange,223772,226882,237500,247476
611602,나이키 x 자크뮈스 문 슈 SP 오프 누아르 캐시미어,0,13000,25/09/29,239000,Off Noir/Cashmere/Gum Light Brown/Neptune Green/Storm Blue/Hydrogen Blue,470129,430700,383553,433814
