size,price,date
265,129000,2026-02-09
255,127000,2026-02-09
270,128000,2026-02-09
280,135000,2026-02-09
285,174000,2026-02-09
270,128000,2026-02-09
280,135000,2026-02-09
260,126000,2026-02-09
250,129000,2026-02-09
260,125000,2026-02-09
270,124000,2026-02-09
265,129000,2026-02-09
285,151000,2026-02-09
270,125000,2026-02-09
280,132000,2026-02-09
260,126000,2026-02-09
280,133000,2026-02-09
270,127000,2026-02-09
270,129000,2026-02-09
265,130000,2026-02-09
280,136000,2026-02-09
275,130000,2026-02-09
270,129000,2026-02-09
255,126000,2026-02-09
255,127000,2026-02-09
285,151000,2026-02-09
265,126000,2026-02-09
275,130000,2026-02-09
275,128000,2026-02-09
270,129000,2026-02-09
280,132000,2026-02-09
265,126000,2026-02-09
275,130000,2026-02-09
270,125000,2026-02-09
265,130000,2026-02-09
250,128000,2026-02-09
270,129000,2026-02-09
260,120000,2026-02-09
280,132000,2026-02-09
280,135000,2026-02-09
280,135000,2026-02-09
270,126000,2026-02-09
255,128000,2026-02-09
270,126000,2026-02-09
265,130000,2026-02-09
260,126000,2026-02-09
275,130000,2026-02-09
250,129000,2026-02-09
270,133000,2026-02-09
280,135000,2026-02-09
260,126000,2026-02-09
265,130000,2026-02-09
300,179000,2026-02-09
270,127000,2026-02-09
275,130000,2026-02-09
245,174000,2026-02-09
255,128000,2026-02-09
265,127000,2026-02-09
270,127000,2026-02-09
250,129000,2026-02-09
250,129000,2026-02-09
280,134000,2026-02-09
270,126000,2026-02-09
260,126000,2026-02-09
260,126000,2026-02-09
275,129000,2026-02-09
265,130000,2026-02-09
250,129000,2026-02-09
250,129000,2026-02-09
270,126000,2026-02-09
265,128000,2026-02-09
270,126000,2026-02-09
275,129000,2026-02-09
270,126000,2026-02-09
260,126000,2026-02-09
260,126000,2026-02-09
260,126000,2026-02-09
265,130000,2026-02-09
275,130000,2026-02-09
265,130000,2026-02-09
280,133000,2026-02-09
265,130000,2026-02-09
275,128000,2026-02-09
275,130000,2026-02-09
270,129000,2026-02-10
255,126000,2026-02-10
280,144000,2026-02-10
255,139000,2026-02-10
270,129000,2026-02-10
260,127000,2026-02-10
260,126000,2026-02-10
260,126000,2026-02-10
270,128000,2026-02-10
265,131000,2026-02-10
260,127000,2026-02-10
255,141000,2026-02-10
270,129000,2026-02-10
270,129000,2026-02-10
260,127000,2026-02-10
265,130000,2026-02-10
275,130000,2026-02-10
290,149000,2026-02-10
265,130000,2026-02-10
285,155000,2026-02-10
265,131000,2026-02-10
260,127000,2026-02-10
270,129000,2026-02-10
265,128000,2026-02-10
265,131000,2026-02-10
260,127000,2026-02-10
275,130000,2026-02-10
270,128000,2026-02-10
255,130000,2026-02-10
275,130000,2026-02-10
250,131000,2026-02-10
265,131000,2026-02-10
255,126000,2026-02-10
260,123000,2026-02-10
265,126000,2026-02-10
265,130000,2026-02-10
270,129000,2026-02-10
280,146000,2026-02-10
250,132000,2026-02-10
280,146000,2026-02-10
285,157000,2026-02-10
275,130000,2026-02-10
265,130000,2026-02-10
260,126000,2026-02-10
285,158000,2026-02-10
285,158000,2026-02-10
260,126000,2026-02-10
250,132000,2026-02-10
260,126000,2026-02-10
265,130000,2026-02-10
255,138000,2026-02-10
265,130000,2026-02-10
265,130000,2026-02-10
285,159000,2026-02-10
265,131000,2026-02-10
295,196000,2026-02-10
275,130000,2026-02-10
275,130000,2026-02-10
270,129000,2026-02-10
265,131000,2026-02-10
255,127000,2026-02-10
275,131000,2026-02-10
270,129000,2026-02-10
265,129000,2026-02-10
245,164000,2026-02-10
280,144000,2026-02-10
270,128000,2026-02-10
260,127000,2026-02-10
290,157000,2026-02-10
290,151000,2026-02-10
280,144000,2026-02-10
285,157000,2026-02-10
265,131000,2026-02-10
270,130000,2026-02-10
265,130000,2026-02-10
275,131000,2026-02-10
