size,price,date
260,118000,2026-02-12
275,119000,2026-02-12
280,120000,2026-02-12
280,119000,2026-02-12
270,120000,2026-02-12
285,111000,2026-02-12
280,119000,2026-02-12
260,118000,2026-02-12
270,120000,2026-02-12
260,118000,2026-02-12
260,118000,2026-02-12
260,118000,2026-02-12
265,120000,2026-02-12
260,118000,2026-02-12
270,119000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
285,111000,2026-02-12
260,118000,2026-02-12
275,119000,2026-02-12
270,116000,2026-02-12
270,115000,2026-02-12
270,115000,2026-02-12
265,120000,2026-02-12
270,119000,2026-02-12
275,119000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
260,118000,2026-02-12
265,120000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
285,112000,2026-02-12
240,130000,2026-02-12
255,122000,2026-02-12
285,113000,2026-02-12
280,120000,2026-02-12
270,118000,2026-02-12
280,119000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
260,118000,2026-02-12
270,118000,2026-02-12
265,120000,2026-02-12
290,112000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
275,115000,2026-02-12
280,119000,2026-02-12
265,120000,2026-02-12
275,119000,2026-02-12
260,118000,2026-02-12
270,120000,2026-02-12
265,120000,2026-02-12
280,110000,2026-02-12
270,119000,2026-02-12
270,118000,2026-02-12
265,120000,2026-02-12
270,119000,2026-02-12
275,119000,2026-02-12
265,120000,2026-02-12
285,113000,2026-02-12
280,118000,2026-02-12
270,119000,2026-02-12
270,116000,2026-02-12
270,120000,2026-02-12
275,119000,2026-02-12
270,119000,2026-02-12
265,120000,2026-02-12
280,117000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
265,120000,2026-02-12
270,119000,2026-02-12
260,118000,2026-02-12
260,118000,2026-02-12
265,120000,2026-02-12
280,117000,2026-02-12
270,119000,2026-02-12
270,119000,2026-02-12
270,118000,2026-02-12
265,117000,2026-02-12
270,120000,2026-02-12
280,120000,2026-02-12
270,119000,2026-02-12
285,112000,2026-02-12
270,118000,2026-02-12
270,119000,2026-02-12
270,118000,2026-02-12
270,119000,2026-02-12
265,119000,2026-02-12
270,118000,2026-02-12
270,119000,2026-02-12
270,119000,2026-02-12
260,112000,2026-02-12
270,119000,2026-02-12
270,119000,2026-02-12
270,118000,2026-02-12
285,113000,2026-02-12
280,118000,2026-02-12
270,119000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
265,120000,2026-02-12
270,118000,2026-02-12
270,119000,2026-02-12
265,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
260,118000,2026-02-12
270,117000,2026-02-12
275,119000,2026-02-12
260,118000,2026-02-12
270,119000,2026-02-12
275,114000,2026-02-12
270,120000,2026-02-12
285,109000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
260,118000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
285,109000,2026-02-12
270,118000,2026-02-12
260,118000,2026-02-12
265,120000,2026-02-12
260,113000,2026-02-12
285,108000,2026-02-12
265,120000,2026-02-12
285,113000,2026-02-12
250,124000,2026-02-12
270,120000,2026-02-12
270,117000,2026-02-12
275,119000,2026-02-12
305,143000,2026-02-12
265,120000,2026-02-12
280,117000,2026-02-12
265,120000,2026-02-12
270,120000,2026-02-12
275,119000,2026-02-12
285,113000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
260,119000,2026-02-12
270,120000,2026-02-12
260,112000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
245,123000,2026-02-12
260,118000,2026-02-12
260,118000,2026-02-12
270,115000,2026-02-12
270,119000,2026-02-12
265,117000,2026-02-12
270,119000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
270,119000,2026-02-12
260,118000,2026-02-12
